MINID,NAME,DATA
302019,ՀՀկենտրոնական բանկից /«Գերմանահայկական հիմնադրամ» ծրագրի կարգավորման գրասենյակի կողմից տնտեսության կայունացման վարկավորման ծրագրի շրջանակներում տրամադրված վարկերից/,2020
302020,Այլ վարկառուներից,2020
302021,«Սպիտակի »Վանուհի» ԲԲԸ,2020
302022,ՀՀ պետական կառավարման մարմիններ,2020
302023,ՀՀ տարածքային կառավարման մարմիններ,2020
302024,«Հրաշք այգի» ՍՊԸ,2020
302025,«Բերիություն» ԱՄ-ի Մասիսի շրջանային միավորում» ՍՊԸ,2020
302026,«Միկշին» ՍՊԸ,2020
302027,«Լոռի ջրմուղկոյուղի» ՓԲԸ,2020
302028,«Շիրակ ջրմուղկոյուղի» ՓԲԸ,2020
302029,«Ավանդների փոխհատուցումը երաշխավորող հիմնադրամ» ՓԲԸ,2020
302030,«Ռադիոիզոտոպների արտադրության կենտրոն» ՓԲԸ,2020
302031,«Հայջրմուղկոյուղի» ՓԲԸ «Փոքր համայնքների ջրամատակարարման եւ ջրահեռացման ծրագիր»,2020
302032,«Երեւանի Ջերմաէլեկտրակենտրոն» ՓԲԸ,2020
302033,«Երեւանի Վ. Բրյուսովի անվան պետական լեզվահասարակագիտական համալսարան» ՊՈԱԿ,2020
302034,«Վայք գրուպ» ՓԲԸ,2020
302035,Այլ,2020
302036,Սալսա դիվելոփմենտ ՓԲԸ,2020
302037,"Վերականգնվող էներգետիկայի եւ էներգախնայողության, քաղաքային ջեռուցման փորձնական ծրագրեր",2020
302038,Գյուղական ֆինանսավորման կառույց,2020
302039,«Հայջրմուղկոյուղի» ՓԲԸ «Ջրամատակարարման եւ ջրահեռացման սեկտորի ծրագիր»,2020
302040,Հայաստանում գյուղական տարածքների տնտեսական զարգացման հիմնադրամ,2020
302041,«Երքաղլույս»  ՓԲԸ,2020
302042,«Դարդան» ՍՊԸ,2020
302043,Վանաձորի բաղնիքային տնտեսություն,2020
302044,Դի ընդ Էյջ Գրուպ ՍՊԸ,2020
302045,Քոնթուր Գլոբալ Հիդրո Կասկադ ՓԲԸ,2020
