GROWP,SUBGROUP,CLASS,PROGRAM,NAME,DATA
1,6,1,17,Համաշխարհային բանկի աջակցությամբ իրականացվող Հայաստանի հանրային ֆինանսական կառավարման հզորացման դրամաշնորհային ծրագիր,2016
1,6,1,18,Համաշխարհային բանկի աջակցությամբ իրականացվող Կենսաթոշակների մասին հանրային իրազեկման եւ գրագիտության դրամաշնորհային ծրագիր,2016
1,6,1,19,Համաշխարհային բանկի աջակցությամբ իրականացվող քաղաքաշինական թույլտվությունների էլեկտրոնային մշակման եւ մեկ պատուհանից տրամադրման ծրագրի համար ԻԶՀ դրամաշնորհային ծրագիր,2016
1,6,1,20,Համաշխարհային բանկի աջակցությամբ  իրականացվող առեւտրի եւ ենթակառուցվածքների զարգացման ծրագիր,2016
1,6,1,21,Համաշխարհային բանկի աջակցությամբ իրականացվող երիտասարդների ներգրավվածության խթանման դրամաշնորհային ծրագրի,2016
1,6,1,22,Համաշխարհային բանկի աջակցությամբ իրականացվող Տեղական տնտեսության ենթակառուցվածքի զարգացման  դրամաշնորհային ծրագիր,2016
1,6,1,23,Հիմնարկներին եվ կազմակերպություններին ամրացված` յուրաքանչյուր միավոր մինչեվ 5 մլն դրամ գնահատված արժեքով շարժական գույքի օտարման գործընթացում գտնվելու ժամանակահատվածում գույքի պահառության կազմակերպում,2016
1,6,1,24,"Ընտրական վարչարարության փորձի ուսումնասիրում, ընտրական վարչարարության բարձրացում, կենտրոնական ընտրական հանձնաժողովի վերազինում եւ ընտրական օրենսդրությանը վերաբերող նյութերի հրատարակում",2016
1,6,1,40,Համաշխարհային բանկի աջակցությամբ իրականացվող պետական հատվածի արդիականացման երրորդ ծրագիր,2016
1,7,0,0,Պետական պարտքի գծով գործառնություններ,2016
1,7,1,0,Պետական պարտքի գծով գործառնություններ,2016
1,7,1,1,ՀՀ պետական արժեթղթերի (գանձապետական պարտատոմսերի) սպասարկում (տոկոսավճար),2016
1,7,1,2,"Օտարերկրյա պետություններից, միջազգային կազմակերպություններից եւ այլ արտաքին աղբյուրներից ստացված վարկերի սպասարկում  (տոկոսավճար)",2016
1,7,1,3,Մուրհակների սպասարկման ծախսեր (տոկոսավճարներ),2016
1,7,1,4,Արտարժութային պետական պարտատոմսերի սպասարկում (տոկոսավճարներ),2016
1,8,0,0,Կառավարության տարբեր մակարդակների միջեւ իրականացվող ընդհանուր բնույթի տրանսֆերտներ,2016
1,8,1,0,Կառավարության տարբեր մակարդակների միջեւ իրականացվող ընդհանուր բնույթի տրանսֆերտներ,2016
1,8,1,1,Համայնքների բյուջեներին ֆինանսական համահարթեցման սկզբունքով դոտացիաների տրամադրում եւ Ազգային Ժողովի ընդունած օրենքների կիրարկման արդյունքում համայնքների բյուջեների եկամուտների կորուստների փոխհատուցում,2016
1,8,1,2,Հայաստանի Հանրապետության համայնքային բյուջեներին  սուբվենցիաների տրամադրում,2016
1,8,1,3,Պետական աջակցություն տեղական ինքնակառավարման մարմիններին,2016
1,8,1,4,Պետական աջակցություն սահմանամերձ համայնքներին,2016
1,8,1,5,Էլեկտրաէներգիայի սակագնի բարձրացմամբ պայմանավորված Երեւան համայնքին սուբվենցիայի տրամադրում,2016
2,0,0,0,ՊԱՇՏՊԱՆՈՒԹՅՈՒՆ,2016
2,1,0,0,Ռազմական պաշտպանություն,2016
2,1,1,0,Ռազմական պաշտպանություն,2016
2,1,1,1,ՀՀ ռազմական կցորդների պահպանում,2016
2,1,1,2,Ռազմական կարիքների բավարարում,2016
2,1,1,3,ՀԱՊԿ-ում ՀՀ զինված ուժերի ներկայացուցչի պահպանում,2016
2,1,1,4,Եվրոպայում անվտանգության եւ համագործակցության կազմակերպությունում ՀՀ առաքելությունում ՀՀ ռազմական ներկայացուցչի պահպանում,2016
2,1,1,5,Ռազմական նշանակության համակարգերի պահպանում,2016
2,1,1,6,Ռուսաստանի Դաշնության  կողմից տրամադրված պետական արտահանման վարկի հաշվին ռուսական արտադրության ռազմական նշանակության արտադրանքի մատակարարումների ֆինանսավորում,2016
2,2,0,0,Քաղաքացիական պաշտպանություն,2016
2,2,1,0,Քաղաքացիական պաշտպանություն,2016
2,3,0,0,Արտաքին ռազմական օգնություն,2016
2,3,1,0,Արտաքին ռազմական օգնություն,2016
2,3,1,1,Երեւանում ՆԱՏՕ-ի հասարակական տեղեկատվական կենտրոնի ապահովում,2016
2,3,1,2,ՆԱՏՕ-ում Հայաստանի Հանրապետության առաքելությունում պաշտպանության հարցերով պետական խորհրդականի պահպանում,2016
2,3,1,3,ՆԱՏՕ-ում (ռազմավարական հրամանատարությունների) ռազմական համագործակցության վարչությունում Հայաստանի Հանրապետության  փոխգործակցության սպայի պահպանում,2016
2,3,1,4,ՆԱՏՕ-ում Հայաստանի Հանրապետության առաքելությունում Հայաստանի Հանրապետության ռազմական ներկայացուցչի պահպանում,2016
2,4,0,0,Հետազոտական եւ նախագծային աշխատանքներ պաշտպանության ոլորտում,2016
2,4,1,0,Հետազոտական եւ նախագծային աշխատանքներ պաշտպանության ոլորտում,2016
2,4,1,1,«Գիտական եւ գիտատեխնիկական նպատակային-ծրագրային հետազոտություններ» ծրագրի շրջանակներում կատարվող Հատուկ գիտահետազոտական եւ փորձակոնստրուկտորական աշխատանքներ,2016
2,5,0,0,Պաշտպանություն (այլ դասերին չպատկանող),2016
2,5,1,0,Պաշտպանություն (այլ դասերին չպատկանող),2016
2,5,1,1,Պաշտպանության բնագավառի այլ ծախսեր,2016
2,5,1,2,Այլընտրանքային ծառայության ապահովում,2016
2,5,1,3,Զորակոչիկներին վարորդական իրավունքի վկայականների տրման եւ քննությունների ընդունման ծախսեր,2016
2,5,1,4,Հումանիտար ականազերծման եւ փորձագիտական ծառայությունների կազմակերպում,2016
2,5,1,5,Այլ ծախսեր,2016
3,0,0,0,"ՀԱՍԱՐԱԿԱԿԱՆ ԿԱՐԳ,  ԱՆՎՏԱՆԳՈՒԹՅՈՒՆ ԵՎ ԴԱՏԱԿԱՆ ԳՈՐԾՈՒՆԵՈՒԹՅՈՒՆ",2016
3,1,0,0,Հասարակական կարգ եւ անվտանգություն,2016
3,1,1,0,Ոստիկանություն,2016
3,1,1,1,Հասարակական կարգի պահպանության ապահովում,2016
3,1,1,2,Պետավտոհամարանիշների ձեռքբերում,2016
3,1,1,3,"ՀՀ պետական կառավարման մարմինների եւ կազմակերպությունների շենքերի եւ շինությունների, ինչպես նաեւ կարեւորագույն նշանակության օբյեկտների պահպանություն",2016
3,1,1,4,"ՀՀ ՊՆ, ՀՀ ԿԱ ԱԱԾ կրտսեր, միջին, ավագ եւ ՀՀ ոստիկանության միջին, ավագ, գլխավոր սպայական անձնակազմին` կենցաղային տեխնիկայի ձեռքբերմանն աջակցելու նպատակով տրամադրվող սպառողական վարկերի  տոկոսագումարները 2 կամ 3 տոկոսային կետով համաֆինանսավորման ծրագիր",2016
3,1,1,5,ՀՀ կառավարությանն առընթեր ՀՀ ոստիկանության ստորոբաժանումների կողմից ՀՀ անունից պայմանագրային հիմունքներով պահպանության եւ անվտանգության գծով իրականացվող ծառայությունների մատուցում,2016
3,1,1,6,"ՀՀ կառավարությանն առընթեր ՀՀ ոստիկանության ճանապարհային ոստիկանության կողմից արձանագրված խախտումների համար վարչական տուգանքների գանձումներից, գրանցման-քննական ծառայությունների դիմաց վճարումներ եւ այլ վճարովի ծառայություններ",2016
3,1,1,7,«Քաղաքացիների բժշկական օգնության եւ սպասարկման վճարովի ծառայության մատուցում»,2016
3,1,1,8,ՀՀ քաղաքացու անձնագիր տալու կամ փոխանակելու վճարովի ծառայություն,2016
3,1,1,40,ՀՀ  անձնագրերի բլանկների տպագրություն,2016
3,1,2,0,Ազգային անվտանգություն,2016
3,1,2,1,Ազգային անվտանգության ապահովում,2016
3,1,2,2,ՀՀ ազգային անվտանգության խորհրդի աշխատակազմի պահպանում,2016
3,1,2,4,ՀՀ կառավարական կապի անվտանգության ապահովում,2016
3,1,3,0,Պետական պահպանություն,2016
3,1,3,1,Պետական պահպանության ապահովում,2016
3,2,0,0,Փրկարար  ծառայություն,2016
3,2,1,0,Փրկարար ծառայություն,2016
3,2,1,1,Նախարարության «Ծրագրերի իրականացման գրասենյակ» պետական հիմնարկի պահպանում,2016
3,2,1,2,Փրկարար ծառայության համակարգի ստորաբաժանումների պահպանում,2016
3,3,0,0,Դատական գործունեություն եւ իրավական պաշտպանություն,2016
3,3,1,0,Դատարաններ,2016
3,3,1,1,ՀՀ սահմանադրական դատարանի պահպանում,2016
