GRP,SUBGROUP,CLASS,PROGRAM,MINID,ITEM,PLAN,CHANGE,AMOUNT,CONTID,DATA
1,1,1,3,104001,4621,6075900,-1486000.0,4589457.4,116,20221231
1,1,1,3,104001,4822,208000,271491.0,479491.0,117,20221231
1,1,1,3,104003,4111,1011495500,14404100.0,1025899600.0,118,20221231
1,1,1,3,104003,4112,201919600,89682985.0,291602585.0,119,20221231
1,1,1,3,104003,4113,85024300,0.0,85024300.0,120,20221231
1,1,1,3,104003,4212,26476200,2000000.0,28319970.9,121,20221231
1,1,1,3,104003,4213,459500,87000.0,532705.0,122,20221231
1,1,1,3,104003,4214,20068000,5000000.0,22662123.1,123,20221231
1,1,1,3,104003,4215,250000,-67000.0,183000.0,124,20221231
1,1,1,3,104003,4216,521900,-170900.0,351000.0,125,20221231
1,1,1,3,104003,4221,6900000,-3409668.0,3489400.0,126,20221231
1,1,1,3,104003,4231,1520000,-500000.0,836800.0,127,20221231
1,1,1,3,104003,4232,195373000,-54511885.0,117086715.0,128,20221231
1,1,1,3,104003,4234,698800,-698800.0,0.0,129,20221231
1,1,1,3,104003,4235,0,99512800.0,70038900.0,130,20221231
1,1,1,3,104003,4237,4500000,850000.0,5055236.3,131,20221231
1,1,1,3,104003,4239,3940000,17395000.0,21275000.0,132,20221231
1,1,1,3,104003,4241,300000,130000.0,430000.0,133,20221231
1,1,1,3,104003,4251,0,13781600.0,12618130.0,134,20221231
1,1,1,3,104003,4252,1667000,500000.0,2146286.0,135,20221231
1,1,1,3,104003,4261,13943900,-1556800.0,12297638.0,136,20221231
1,1,1,3,104003,4264,3910000,-3910000.0,0.0,137,20221231
1,1,1,3,104003,4267,766600,-112800.0,488835.3,138,20221231
1,1,1,3,104003,4269,0,416000.0,414000.0,139,20221231
1,1,1,3,104003,4621,5521700,-1579100.0,3942600.0,140,20221231
1,1,1,3,104003,4822,474600,0.0,436629.0,141,20221231
1,1,1,3,104003,4831,0,210668.0,210668.0,142,20221231
1,1,1,3,104024,4221,0,0.0,0.0,143,20221231
1,1,1,3,104024,4822,0,0.0,0.0,144,20221231
1,1,1,3,106002,4111,312369600,0.0,312369600.0,145,20221231
1,1,1,3,106002,4112,59894900,0.0,59894900.0,146,20221231
1,1,1,3,106002,4113,29353600,0.0,29353600.0,147,20221231
1,1,1,3,106002,4212,8576700,-400000.0,7581093.5,148,20221231
1,1,1,3,106002,4213,161700,0.0,119158.0,149,20221231
1,1,1,3,106002,4214,4000000,0.0,3287220.1,150,20221231
1,1,1,3,106002,4215,160000,85000.0,245000.0,151,20221231
1,1,1,3,106002,4221,500000,0.0,308600.0,152,20221231
1,1,1,3,106002,4232,2085000,-236000.0,1835000.0,153,20221231
