CONTID,CONTRACT,FILENAME,FILENAMEBC
2097,341664001,39217029-kic-faylter.rar;39352120-0659  Tiv16pol.part1.rar;39352120-0659  Tiv16pol.part2.rar;41556451-0659.pdf,40495020-211.pdf;41216978-211.pdf;41716372-211.pdf;41271998-211.pdf
2097,341666001,39217115-kic-faylter.rar;39352173-0661 Arabkir mank pol.part1.rar;39352173-0661 Arabkir mank pol.part2.rar;40535112-St-Arabkir mankakan_signed.pdf,40494068-211.pdf;41220531-211.pdf;41810294-211.pdf;41694438-211.pdf;41097661-211.pdf
2097,341668001,39217547-kic-faylter.rar;39429931-0676 Diagnostika.part1.rar;39429931-0676 Diagnostika.part2.rar;41612111-0676.pdf,41247739-0676-211.pdf;40051172-0676-211.pdf;41277081-0676-211.pdf;41230313-0676-211.pdf;40051172-6978.pdf;41718845-211.pdf;41591998-0676.pdf
2097,341671001,39217677-kic-faylter.rar;39459529-0683 Vardananc bk.part1.rar;39459529-0683 Vardananc bk.part2.rar;39849299-0683h.pdf;41605625-0683.pdf,41231879-211.pdf;41253096-0683-211.pdf;41278885-0683-211.pdf;40483897-0683-211..pdf
2097,341675001,39421570-0694 Erkatux pol.part1.rar;39421570-0694 Erkatux pol.part2.rar;39217752-kic-faylter.rar;41554714-0694.pdf,41234096-211.pdf;41717309-211.pdf;41280181-211.pdf;41255482-211.pdf
2097,343017001,39216656-kic-faylter.rar;39386473-0662 Arshakunyac pol.part1.rar;39386473-0662 Arshakunyac pol.part2.rar;41577890-0662.pdf,41713625-0662.pdf;41810824-0662.pdf;40969686-0662-211.pdf;40852918-arcanagrut.06620000-211.pdf;40661064-211.pdf;41282722-0662-211.pdf;40407195-arcanagrut.06620000-211.pdf
2098,338412001,39221457-Shirak_kic_njuter.rar;39368028-0317.rar;41564230-Avstriakan.pdf,41368634-0317-221_signed.pdf;41665035-221.pdf;41102679-0317-221_signed.pdf;40873561-0317-221_signed.pdf;40643333-0317-221_signed.pdf;41774594-221.pdf
2098,338488001,39213489-kic-faylter.rar;39444248-0076 Arabkir.part1.rar;39444248-0076 Arabkir.part2.rar;39444248-0076 Arabkir.part3.rar;41612176-0076.pdf,40490017-221-04.pdf;41127095-221-07.PDF;40759978-221-05.pdf;41741186-221.PDF;41282820-221.pdf
2098,338489001,39213909-kic-faylter.rar;39352304-0117 Tiv 9 mank pol.part1.rar;39352304-0117 Tiv 9 mank pol.part2.rar,41447500-221.pdf;40494976-0117-221.pdf;41263104-221.pdf;41196517-221.pdf;41207135-221.pdf
2098,339286001,39216430-Lorikic17.rar;39381585-0461.rar;40729920-gugarqpol (1)_signed.pdf,40875934-221_signed_signed.pdf;41109918-221_signed_signed.pdf;41693568-221.pdf;40667113-arcanagr-16.12.16-31.07.17 barcr risk_signed_signed.pdf;41392974-arcanagr-221_signed_signed.pdf;41836283-221.pdf
2098,339288001,39216451-Lorikic17.rar;39436757-0455.rar;41655891-Spitak.pdf,41688358-221_s.pdf;41397641-221_signed.pdf;41846015-221.pdf;41125136-221_signed.pdf;40887257-a-221_signed.pdf
2098,340957001,39221980-kic-nyuter_Aragacotn.rar;39797303-Signed_0695_havelvac1.pdf;39797303-Signed_0695_havelvac2.pdf;39797303-Signed_Paymanagri_0695.rar;41655409-06950000.pdf,41737284-221.pdf;41809192-221_s.pdf;41129384-A_0695_221_09_signed.pdf;41817352-221.pdf;41416343-A_0697_221_10.pdf
